"match_id","date","team1","team2","winner","result","winner_by_runs","winner_by_wickets","venue","toss_winner","toss_decision","home_team","city","season"
1226826,2021-01-08,"Adelaide Strikers","Melbourne Renegades","Melbourne Renegades",NA,NA,6,"Adelaide Oval","Adelaide Strikers","bat","Adelaide Strikers","Adelaide",2020
1226827,2021-01-24,"Hobart Hurricanes","Sydney Sixers","Hobart Hurricanes",NA,7,NA,"Melbourne Cricket Ground","Sydney Sixers","field",NA,"Melbourne",2020
1226828,2020-12-12,"Melbourne Stars","Sydney Thunder","Melbourne Stars",NA,22,NA,"Manuka Oval, Canberra","Melbourne Stars","bat","Sydney Thunder","Canberra",2020
1226829,2021-01-06,"Perth Scorchers","Sydney Sixers","Perth Scorchers",NA,86,NA,"Perth Stadium","Sydney Sixers","field","Perth Scorchers","Perth",2020
1226830,2020-12-19,"Melbourne Renegades","Hobart Hurricanes","Hobart Hurricanes",NA,NA,6,"Bellerive Oval, Hobart","Hobart Hurricanes","field","Hobart Hurricanes","Hobart",2020
1226831,2020-12-22,"Perth Scorchers","Sydney Thunder","Sydney Thunder",NA,NA,7,"Manuka Oval, Canberra","Sydney Thunder","field","Sydney Thunder","Canberra",2020
1226832,2021-01-02,"Sydney Sixers","Brisbane Heat","Brisbane Heat",NA,NA,4,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Sydney Sixers","bat","Brisbane Heat","Brisbane",2020
1226833,2021-01-05,"Adelaide Strikers","Melbourne Renegades","Adelaide Strikers",NA,60,NA,"Adelaide Oval","Adelaide Strikers","bat","Adelaide Strikers","Adelaide",2020
1226834,2021-01-22,"Perth Scorchers","Hobart Hurricanes","Perth Scorchers",NA,22,NA,"Docklands Stadium, Melbourne","Perth Scorchers","bat",NA,"Melbourne",2020
1226835,2021-01-07,"Brisbane Heat","Melbourne Stars","Brisbane Heat",NA,17,NA,"Carrara Oval","Melbourne Stars","field","Brisbane Heat","Gold Coast",2020
1226836,2021-01-25,"Adelaide Strikers","Sydney Thunder","Sydney Thunder",NA,NA,9,"Adelaide Oval","Sydney Thunder","field","Adelaide Strikers","Adelaide",2020
1226837,2020-12-13,"Sydney Sixers","Melbourne Renegades","Sydney Sixers",NA,145,NA,"Bellerive Oval, Hobart","Melbourne Renegades","field",NA,"Hobart",2020
1226838,2021-01-19,"Perth Scorchers","Brisbane Heat","Perth Scorchers",NA,59,NA,"Docklands Stadium, Melbourne","Brisbane Heat","field",NA,"Melbourne",2020
