"match_id","date","team1","team2","winner","result","winner_by_runs","winner_by_wickets","venue","toss_winner","toss_decision","home_team","city","season"
524915,2011-12-16,"Sydney Sixers","Brisbane Heat","Sydney Sixers",NA,NA,7,"Sydney Cricket Ground, Sydney","Brisbane Heat","bat","Sydney Sixers","Sydney",2011
524916,2011-12-17,"Melbourne Stars","Sydney Thunder","Sydney Thunder",NA,NA,6,"Melbourne Cricket Ground","Sydney Thunder","field","Melbourne Stars","Melbourne",2011
524917,2011-12-18,"Adelaide Strikers","Melbourne Renegades","Adelaide Strikers",NA,67,NA,"Adelaide Oval","Melbourne Renegades","field","Adelaide Strikers","Adelaide",2011
524918,2011-12-18,"Perth Scorchers","Hobart Hurricanes","Hobart Hurricanes",NA,31,NA,"Western Australia Cricket Association Ground","Hobart Hurricanes","bat","Perth Scorchers","Perth",2011
524919,2011-12-20,"Brisbane Heat","Melbourne Stars","Melbourne Stars",NA,8,NA,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Melbourne Stars","bat","Brisbane Heat","Brisbane",2011
524920,2011-12-21,"Hobart Hurricanes","Sydney Sixers","Hobart Hurricanes",NA,42,NA,"Bellerive Oval, Hobart","Hobart Hurricanes","bat","Hobart Hurricanes","Hobart",2011
524921,2011-12-22,"Melbourne Renegades","Perth Scorchers","Perth Scorchers",NA,NA,8,"Docklands Stadium, Melbourne","Melbourne Renegades","bat","Melbourne Renegades","Melbourne",2011
524922,2011-12-23,"Sydney Thunder","Adelaide Strikers","Sydney Thunder",NA,NA,6,"Stadium Australia","Adelaide Strikers","bat","Sydney Thunder","Sydney",2011
524923,2011-12-27,"Sydney Sixers","Melbourne Stars","Sydney Sixers",NA,2,NA,"Sydney Cricket Ground, Sydney","Sydney Sixers","bat","Sydney Sixers","Sydney",2011
524924,2011-12-28,"Adelaide Strikers","Hobart Hurricanes","Hobart Hurricanes",NA,14,NA,"Adelaide Oval","Hobart Hurricanes","bat","Adelaide Strikers","Adelaide",2011
524925,2011-12-29,"Perth Scorchers","Brisbane Heat","Perth Scorchers",NA,10,NA,"Western Australia Cricket Association Ground","Perth Scorchers","bat","Perth Scorchers","Perth",2011
524926,2011-12-30,"Sydney Thunder","Melbourne Renegades","Melbourne Renegades",NA,6,NA,"Stadium Australia","Melbourne Renegades","bat","Sydney Thunder","Sydney",2011
524927,2012-01-01,"Hobart Hurricanes","Sydney Thunder","Hobart Hurricanes",NA,NA,5,"Bellerive Oval, Hobart","Sydney Thunder","bat","Hobart Hurricanes","Hobart",2011
524928,2012-01-02,"Melbourne Renegades","Sydney Sixers","Melbourne Renegades",NA,NA,8,"Docklands Stadium, Melbourne","Sydney Sixers","bat","Melbourne Renegades","Melbourne",2011
524930,2012-01-04,"Melbourne Stars","Perth Scorchers","Perth Scorchers",NA,8,NA,"Melbourne Cricket Ground","Perth Scorchers","bat","Melbourne Stars","Melbourne",2011
524933,2012-01-08,"Sydney Thunder","Sydney Sixers","Sydney Sixers",NA,17,NA,"Stadium Australia","Sydney Sixers","bat","Sydney Sixers","Sydney",2011
524934,2012-01-08,"Perth Scorchers","Adelaide Strikers","Perth Scorchers",NA,42,NA,"Western Australia Cricket Association Ground","Perth Scorchers","bat","Perth Scorchers","Perth",2011
524935,2012-01-09,"Hobart Hurricanes","Melbourne Stars","Melbourne Stars",NA,19,NA,"Bellerive Oval, Hobart","Melbourne Stars","bat","Hobart Hurricanes","Hobart",2011
524936,2012-01-10,"Adelaide Strikers","Sydney Sixers","Sydney Sixers",NA,64,NA,"Adelaide Oval","Sydney Sixers","bat","Adelaide Strikers","Adelaide",2011
524938,2012-01-12,"Melbourne Renegades","Brisbane Heat","Brisbane Heat",NA,12,NA,"Docklands Stadium, Melbourne","Brisbane Heat","bat","Melbourne Renegades","Melbourne",2011
524939,2012-01-17,"Brisbane Heat","Sydney Thunder","Brisbane Heat",NA,91,NA,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Sydney Thunder","field","Brisbane Heat","Brisbane",2011
524940,2012-01-18,"Hobart Hurricanes","Melbourne Renegades","Hobart Hurricanes",NA,NA,7,"Bellerive Oval, Hobart","Melbourne Renegades","bat","Hobart Hurricanes","Hobart",2011
524941,2012-01-18,"Sydney Sixers","Perth Scorchers","Sydney Sixers",NA,1,NA,"Sydney Cricket Ground, Sydney","Sydney Sixers","bat","Sydney Sixers","Sydney",2011
524942,2012-01-19,"Melbourne Stars","Adelaide Strikers","Melbourne Stars",NA,NA,6,"Melbourne Cricket Ground","Adelaide Strikers","bat","Melbourne Stars","Melbourne",2011
524943,2012-01-21,"Perth Scorchers","Melbourne Stars","Perth Scorchers",NA,11,NA,"Western Australia Cricket Association Ground","Perth Scorchers","bat","Perth Scorchers","Perth",2011
524944,2012-01-22,"Hobart Hurricanes","Sydney Sixers","Sydney Sixers",NA,7,NA,"Bellerive Oval, Hobart","Sydney Sixers","bat","Hobart Hurricanes","Hobart",2011
524945,2012-01-28,"Perth Scorchers","Sydney Sixers","Sydney Sixers",NA,NA,7,"Western Australia Cricket Association Ground","Perth Scorchers","bat","Perth Scorchers","Perth",2011
