"match_id","date","team1","team2","winner","result","winner_by_runs","winner_by_wickets","venue","toss_winner","toss_decision","home_team","city","season"
756735,2014-12-18,"Adelaide Strikers","Melbourne Stars","Adelaide Strikers",NA,NA,8,"Adelaide Oval","Melbourne Stars","bat","Adelaide Strikers","Adelaide",2014
756737,2014-12-19,"Sydney Sixers","Melbourne Renegades","Sydney Sixers",NA,NA,8,"Sydney Cricket Ground, Sydney","Sydney Sixers","field","Sydney Sixers","Sydney",2014
756739,2014-12-20,"Melbourne Stars","Hobart Hurricanes","Hobart Hurricanes",NA,52,NA,"Melbourne Cricket Ground","Melbourne Stars","field","Melbourne Stars","Melbourne",2014
756741,2014-12-21,"Sydney Thunder","Brisbane Heat","Sydney Thunder",NA,56,NA,"Stadium Australia","Brisbane Heat","field","Sydney Thunder","Sydney",2014
756743,2014-12-22,"Perth Scorchers","Adelaide Strikers","Adelaide Strikers",NA,NA,1,"Western Australia Cricket Association Ground","Perth Scorchers","bat","Perth Scorchers","Perth",2014
756745,2014-12-23,"Hobart Hurricanes","Sydney Sixers","Sydney Sixers",NA,NA,7,"Bellerive Oval, Hobart","Hobart Hurricanes","bat","Hobart Hurricanes","Hobart",2014
756747,2014-12-26,"Perth Scorchers","Melbourne Renegades","Perth Scorchers",NA,35,NA,"Western Australia Cricket Association Ground","Perth Scorchers","bat","Perth Scorchers","Perth",2014
756749,2014-12-27,"Sydney Thunder","Sydney Sixers","Sydney Sixers",NA,16,NA,"Stadium Australia","Sydney Thunder","field","Sydney Sixers","Sydney",2014
756751,2014-12-28,"Brisbane Heat","Melbourne Stars","Brisbane Heat",NA,1,NA,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Melbourne Stars","field","Brisbane Heat","Brisbane",2014
756753,2014-12-29,"Sydney Sixers","Perth Scorchers","Perth Scorchers",NA,36,NA,"Sydney Cricket Ground, Sydney","Perth Scorchers","bat","Sydney Sixers","Sydney",2014
756755,2014-12-30,"Melbourne Renegades","Sydney Thunder","Melbourne Renegades",NA,NA,8,"Docklands Stadium, Melbourne","Melbourne Renegades","field","Melbourne Renegades","Melbourne",2014
756757,2014-12-31,"Adelaide Strikers","Hobart Hurricanes","Adelaide Strikers",NA,NA,8,"Adelaide Oval","Hobart Hurricanes","bat","Adelaide Strikers","Adelaide",2014
