"match_id","date","team1","team2","winner","result","winner_by_runs","winner_by_wickets","venue","toss_winner","toss_decision","home_team","city","season"
1324624,2022-12-13,"Melbourne Stars","Sydney Thunder","Sydney Thunder",NA,NA,1,"Manuka Oval, Canberra","Sydney Thunder","field","Sydney Thunder","Canberra",2022
1324625,2022-12-14,"Adelaide Strikers","Sydney Sixers","Adelaide Strikers",NA,51,NA,"Adelaide Oval","Adelaide Strikers","bat","Adelaide Strikers","Adelaide",2022
1324626,2022-12-15,"Melbourne Renegades","Brisbane Heat","Melbourne Renegades",NA,22,NA,"Cazaly's Stadium, Cairns","Brisbane Heat","field",NA,"Cairns",2022
1324627,2022-12-16,"Melbourne Stars","Hobart Hurricanes","Melbourne Stars",NA,38,NA,"Melbourne Cricket Ground","Hobart Hurricanes","field","Melbourne Stars","Melbourne",2022
1324628,2022-12-16,"Adelaide Strikers","Sydney Thunder","Adelaide Strikers",NA,124,NA,"Sydney Showground Stadium","Adelaide Strikers","bat","Sydney Thunder","Sydney",2022
1324629,2022-12-17,"Perth Scorchers","Sydney Sixers","Perth Scorchers",NA,38,NA,"Perth Stadium","Perth Scorchers","bat","Perth Scorchers","Perth",2022
1324630,2022-12-18,"Sydney Thunder","Melbourne Renegades","Melbourne Renegades",NA,NA,4,"Docklands Stadium, Melbourne","Sydney Thunder","bat","Melbourne Renegades","Melbourne",2022
1324631,2022-12-19,"Hobart Hurricanes","Perth Scorchers","Hobart Hurricanes",NA,8,NA,"University of Tasmania Stadium, Launceston","Hobart Hurricanes","bat","Hobart Hurricanes","Launceston",2022
1324632,2022-12-20,"Sydney Thunder","Adelaide Strikers","Adelaide Strikers",NA,NA,6,"Adelaide Oval","Sydney Thunder","bat","Adelaide Strikers","Adelaide",2022
1324633,2022-12-21,"Brisbane Heat","Melbourne Renegades","Melbourne Renegades",NA,NA,4,"GMHBA Stadium, South Geelong, Victoria","Brisbane Heat","bat","Melbourne Renegades","Geelong",2022
1324634,2022-12-22,"Sydney Sixers","Hobart Hurricanes","Sydney Sixers",NA,6,NA,"Sydney Cricket Ground, Sydney","Sydney Sixers","bat","Sydney Sixers","Sydney",2022
1324635,2022-12-23,"Perth Scorchers","Melbourne Stars","Perth Scorchers",NA,61,NA,"Junction Oval, Melbourne","Perth Scorchers","bat",NA,"Melbourne",2022
1324636,2022-12-23,"Brisbane Heat","Adelaide Strikers","Brisbane Heat",NA,6,NA,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane Heat","bat","Brisbane Heat","Brisbane",2022
1324637,2022-12-24,"Hobart Hurricanes","Melbourne Renegades","Hobart Hurricanes",NA,8,NA,"Bellerive Oval, Hobart","Hobart Hurricanes","bat","Hobart Hurricanes","Hobart",2022
1324638,2022-12-26,"Melbourne Stars","Sydney Sixers","Sydney Sixers",NA,NA,7,"Sydney Cricket Ground, Sydney","Sydney Sixers","field","Sydney Sixers","Sydney",2022
1324639,2022-12-26,"Adelaide Strikers","Perth Scorchers","Perth Scorchers",NA,NA,3,"Perth Stadium","Adelaide Strikers","bat","Perth Scorchers","Perth",2022
1324640,2022-12-27,"Brisbane Heat","Sydney Thunder","Sydney Thunder",NA,NA,10,"Sydney Showground Stadium","Brisbane Heat","bat","Sydney Thunder","Sydney",2022
1324641,2022-12-28,"Sydney Sixers","Melbourne Renegades","Sydney Sixers",NA,34,NA,"Sydney Cricket Ground, Sydney","Melbourne Renegades","field","Sydney Sixers","Sydney",2022
1324642,2022-12-29,"Sydney Thunder","Brisbane Heat","Sydney Thunder",NA,11,NA,"Carrara Oval","Brisbane Heat","field","Brisbane Heat","Gold Coast",2022
1324643,2022-12-29,"Melbourne Stars","Perth Scorchers","Perth Scorchers",NA,NA,6,"Perth Stadium","Melbourne Stars","bat","Perth Scorchers","Perth",2022
1324644,2022-12-30,"Melbourne Renegades","Sydney Sixers","Sydney Sixers",NA,NA,6,"GMHBA Stadium, South Geelong, Victoria","Melbourne Renegades","bat","Melbourne Renegades","Geelong",2022
1324645,2022-12-31,"Sydney Thunder","Hobart Hurricanes","Sydney Thunder",NA,62,NA,"Lavington Sports Oval, Albury","Hobart Hurricanes","field",NA,"Albury",2022
1324646,2022-12-31,"Melbourne Stars","Adelaide Strikers","Melbourne Stars",NA,8,NA,"Adelaide Oval","Melbourne Stars","bat","Adelaide Strikers","Adelaide",2022
1324647,2023-01-01,"Melbourne Renegades","Perth Scorchers","Perth Scorchers",NA,NA,5,"Docklands Stadium, Melbourne","Melbourne Renegades","bat","Melbourne Renegades","Melbourne",2022
1324648,2023-01-01,"Brisbane Heat","Sydney Sixers","Brisbane Heat",NA,15,NA,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane Heat","bat","Brisbane Heat","Brisbane",2022
1324649,2023-01-02,"Adelaide Strikers","Hobart Hurricanes","Hobart Hurricanes",NA,NA,7,"Bellerive Oval, Hobart","Adelaide Strikers","bat","Hobart Hurricanes","Hobart",2022
1324650,2023-01-03,"Melbourne Renegades","Melbourne Stars","Melbourne Renegades",NA,33,NA,"Melbourne Cricket Ground","Melbourne Stars","field","Melbourne Stars","Melbourne",2022
1324652,2023-01-04,"Perth Scorchers","Sydney Thunder","Sydney Thunder",NA,NA,6,"Perth Stadium","Perth Scorchers","bat","Perth Scorchers","Perth",2022
1324653,2023-01-05,"Hobart Hurricanes","Adelaide Strikers","Adelaide Strikers",NA,NA,7,"Adelaide Oval","Adelaide Strikers","field","Adelaide Strikers","Adelaide",2022
