match_id,season,date,team1,team2,venue,winner,toss_winner,toss_decision,home_team,home_wins,toss_win_game_win,toss_winner_home
1195593,2019,2020-01-03,Hobart Hurricanes,Brisbane Heat,"Bellerive Oval, Hobart",Brisbane Heat,Hobart Hurricanes,field,Hobart Hurricanes,Lose,No,home
1195594,2019,2020-01-04,Melbourne Stars,Melbourne Renegades,Melbourne Cricket Ground,Melbourne Stars,Melbourne Stars,field,Melbourne Stars,Win,Yes,home
1195595,2019,2020-01-05,Sydney Sixers,Adelaide Strikers,"International Sports Stadium, Coffs Harbour",Sydney Sixers,Adelaide Strikers,bat,NA,Neutral,No,neutral
1195596,2019,2020-01-05,Perth Scorchers,Hobart Hurricanes,Perth Stadium,Hobart Hurricanes,Hobart Hurricanes,bat,Perth Scorchers,Lose,Yes,away
1195597,2019,2020-01-06,Sydney Thunder,Brisbane Heat,Sydney Showground Stadium,Brisbane Heat,Brisbane Heat,bat,Sydney Thunder,Lose,Yes,away
1195598,2019,2020-01-07,Melbourne Renegades,Perth Scorchers,"GMHBA Stadium, South Geelong, Victoria",Perth Scorchers,Perth Scorchers,field,Melbourne Renegades,Lose,Yes,away
1195599,2019,2020-01-08,Adelaide Strikers,Sydney Sixers,Adelaide Oval,Sydney Sixers,Sydney Sixers,field,Adelaide Strikers,Lose,Yes,away
1195600,2019,2020-01-08,Melbourne Stars,Sydney Thunder,Melbourne Cricket Ground,Melbourne Stars,Melbourne Stars,field,Melbourne Stars,Win,Yes,home
1195601,2019,2020-01-09,Brisbane Heat,Hobart Hurricanes,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Hobart Hurricanes,bat,Brisbane Heat,Win,No,away
1195602,2019,2020-01-10,Melbourne Renegades,Melbourne Stars,"Docklands Stadium, Melbourne",Melbourne Stars,Melbourne Stars,field,Melbourne Renegades,Lose,Yes,away
1195603,2019,2020-01-11,Sydney Thunder,Hobart Hurricanes,Sydney Showground Stadium,Sydney Thunder,Sydney Thunder,field,Sydney Thunder,Win,Yes,home
1195604,2019,2020-01-11,Perth Scorchers,Brisbane Heat,Perth Stadium,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers,Win,Yes,home
1195605,2019,2020-01-12,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,Adelaide Strikers,Adelaide Strikers,bat,Adelaide Strikers,Win,Yes,home
1195606,2019,2020-01-12,Melbourne Stars,Sydney Sixers,Melbourne Cricket Ground,Melbourne Stars,Sydney Sixers,field,Melbourne Stars,Win,No,away
1195607,2019,2020-01-13,Hobart Hurricanes,Perth Scorchers,"Bellerive Oval, Hobart",Perth Scorchers,Hobart Hurricanes,field,Hobart Hurricanes,Lose,No,home
1195608,2019,2020-01-14,Brisbane Heat,Adelaide Strikers,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Adelaide Strikers,bat,Brisbane Heat,Win,No,away
1195609,2019,2020-01-15,Sydney Thunder,Melbourne Renegades,"Manuka Oval, Canberra",Melbourne Renegades,Melbourne Renegades,bat,Sydney Thunder,Lose,Yes,away
1195610,2019,2020-01-15,Perth Scorchers,Melbourne Stars,Perth Stadium,Melbourne Stars,Perth Scorchers,bat,Perth Scorchers,Lose,No,home
1195612,2019,2020-01-17,Adelaide Strikers,Brisbane Heat,Adelaide Oval,Adelaide Strikers,Brisbane Heat,bat,Adelaide Strikers,Win,No,away
1195613,2019,2020-01-18,Melbourne Stars,Perth Scorchers,Melbourne Cricket Ground,Melbourne Stars,Melbourne Stars,bat,Melbourne Stars,Win,Yes,home
1195614,2019,2020-01-18,Sydney Thunder,Sydney Sixers,Sydney Showground Stadium,Sydney Thunder,Sydney Thunder,field,Sydney Thunder,Win,Yes,home
1195615,2019,2020-01-19,Hobart Hurricanes,Adelaide Strikers,"Aurora Stadium, Launceston",Adelaide Strikers,Hobart Hurricanes,field,Hobart Hurricanes,Lose,No,home
1195616,2019,2020-01-19,Brisbane Heat,Melbourne Renegades,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Melbourne Renegades,Brisbane Heat,field,Brisbane Heat,Lose,No,home
1195617,2019,2020-01-20,Sydney Sixers,Melbourne Stars,"Sydney Cricket Ground, Sydney",Sydney Sixers,Melbourne Stars,field,Sydney Sixers,Win,No,away
1195618,2019,2020-01-20,Perth Scorchers,Sydney Thunder,Perth Stadium,Perth Scorchers,Sydney Thunder,bat,Perth Scorchers,Win,No,away
1195619,2019,2020-01-21,Melbourne Renegades,Hobart Hurricanes,"Docklands Stadium, Melbourne",Hobart Hurricanes,Melbourne Renegades,field,Melbourne Renegades,Lose,No,home
1195620,2019,2020-01-22,Adelaide Strikers,Melbourne Stars,Adelaide Oval,Adelaide Strikers,Melbourne Stars,field,Adelaide Strikers,Win,No,away
1195621,2019,2020-01-23,Brisbane Heat,Sydney Sixers,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Sixers,Sydney Sixers,field,Brisbane Heat,Lose,Yes,away
1195622,2019,2020-01-24,Hobart Hurricanes,Sydney Thunder,"Bellerive Oval, Hobart",Hobart Hurricanes,Hobart Hurricanes,bat,Hobart Hurricanes,Win,Yes,home
1195623,2019,2020-01-24,Perth Scorchers,Adelaide Strikers,Perth Stadium,Adelaide Strikers,Adelaide Strikers,bat,Perth Scorchers,Lose,Yes,away
1195624,2019,2020-01-25,Sydney Sixers,Melbourne Renegades,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Sixers,field,Sydney Sixers,Win,Yes,home
1195625,2019,2020-01-25,Melbourne Stars,Brisbane Heat,Melbourne Cricket Ground,Brisbane Heat,Brisbane Heat,bat,Melbourne Stars,Lose,Yes,away
1195626,2019,2020-01-26,Sydney Thunder,Perth Scorchers,Sydney Showground Stadium,Sydney Thunder,Perth Scorchers,bat,Sydney Thunder,Win,No,away
1195627,2019,2020-01-26,Adelaide Strikers,Hobart Hurricanes,Adelaide Oval,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Strikers,Lose,Yes,away
1195628,2019,2020-01-27,Melbourne Renegades,Brisbane Heat,"Docklands Stadium, Melbourne",Melbourne Renegades,Brisbane Heat,bat,Melbourne Renegades,Win,No,away
1195629,2019,2020-01-30,Hobart Hurricanes,Sydney Thunder,"Bellerive Oval, Hobart",Sydney Thunder,Sydney Thunder,bat,Hobart Hurricanes,Lose,Yes,away
1195630,2019,2020-01-31,Melbourne Stars,Sydney Sixers,Melbourne Cricket Ground,Sydney Sixers,Melbourne Stars,field,Melbourne Stars,Lose,No,home
1195631,2019,2020-02-01,Adelaide Strikers,Sydney Thunder,Adelaide Oval,Sydney Thunder,Adelaide Strikers,field,Adelaide Strikers,Lose,No,home
1195632,2019,2020-02-06,Melbourne Stars,Sydney Thunder,Melbourne Cricket Ground,Melbourne Stars,Melbourne Stars,bat,Melbourne Stars,Win,Yes,home
1195633,2019,2020-02-08,Sydney Sixers,Melbourne Stars,"Sydney Cricket Ground, Sydney",Sydney Sixers,Melbourne Stars,field,Sydney Sixers,Win,No,away
1226826,2020,2021-01-08,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,Melbourne Renegades,Adelaide Strikers,bat,Adelaide Strikers,Lose,No,home
1226827,2020,2021-01-24,Hobart Hurricanes,Sydney Sixers,Melbourne Cricket Ground,Hobart Hurricanes,Sydney Sixers,field,NA,Neutral,No,neutral
1226828,2020,2020-12-12,Melbourne Stars,Sydney Thunder,"Manuka Oval, Canberra",Melbourne Stars,Melbourne Stars,bat,Sydney Thunder,Lose,Yes,away
1226829,2020,2021-01-06,Perth Scorchers,Sydney Sixers,Perth Stadium,Perth Scorchers,Sydney Sixers,field,Perth Scorchers,Win,No,away
1226830,2020,2020-12-19,Melbourne Renegades,Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes,Win,Yes,home
1226831,2020,2020-12-22,Perth Scorchers,Sydney Thunder,"Manuka Oval, Canberra",Sydney Thunder,Sydney Thunder,field,Sydney Thunder,Win,Yes,home
1226832,2020,2021-01-02,Sydney Sixers,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Sydney Sixers,bat,Brisbane Heat,Win,No,away
1226833,2020,2021-01-05,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,Adelaide Strikers,Adelaide Strikers,bat,Adelaide Strikers,Win,Yes,home
1226834,2020,2021-01-22,Perth Scorchers,Hobart Hurricanes,"Docklands Stadium, Melbourne",Perth Scorchers,Perth Scorchers,bat,NA,Neutral,Yes,neutral
