match_id,season,date,team1,team2,venue,winner,toss_winner,toss_decision,home_team,home_wins,toss_win_game_win,toss_winner_home
1269659,2021,2021-12-27,Adelaide Strikers,Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,Adelaide Strikers,bat,Hobart Hurricanes,Win,No,away
1269660,2021,2021-12-27,Melbourne Stars,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Melbourne Stars,Brisbane Heat,field,Brisbane Heat,Lose,No,home
1269661,2021,2021-12-28,Sydney Thunder,Perth Scorchers,"Manuka Oval, Canberra",Sydney Thunder,Perth Scorchers,field,Sydney Thunder,Win,No,away
1269662,2021,2021-12-29,Brisbane Heat,Sydney Sixers,"Sydney Cricket Ground, Sydney",Sydney Sixers,Brisbane Heat,bat,Sydney Sixers,Win,No,away
1269663,2021,2021-12-29,Hobart Hurricanes,Melbourne Renegades,"Docklands Stadium, Melbourne",Hobart Hurricanes,Melbourne Renegades,field,Melbourne Renegades,Lose,No,home
1269664,2021,2022-01-11,Perth Scorchers,Melbourne Stars,"GMHBA Stadium, South Geelong, Victoria",Perth Scorchers,Perth Scorchers,bat,NA,Neutral,Yes,neutral
1269665,2021,2021-12-31,Sydney Thunder,Adelaide Strikers,Adelaide Oval,Sydney Thunder,Sydney Thunder,bat,Adelaide Strikers,Lose,Yes,away
1269666,2021,2022-01-01,Brisbane Heat,Hobart Hurricanes,"Bellerive Oval, Hobart",Brisbane Heat,Hobart Hurricanes,field,Hobart Hurricanes,Lose,No,home
1269668,2021,2022-01-02,Perth Scorchers,Melbourne Stars,"Junction Oval, Melbourne",Perth Scorchers,Perth Scorchers,bat,NA,Neutral,Yes,neutral
1269669,2021,2022-01-02,Sydney Thunder,Adelaide Strikers,Sydney Showground Stadium,Sydney Thunder,Sydney Thunder,bat,Sydney Thunder,Win,Yes,home
1269670,2021,2022-01-03,Melbourne Stars,Melbourne Renegades,Melbourne Cricket Ground,Melbourne Renegades,Melbourne Stars,bat,Melbourne Stars,Lose,No,home
1269671,2021,2022-01-21,Adelaide Strikers,Hobart Hurricanes,Melbourne Cricket Ground,Adelaide Strikers,Adelaide Strikers,bat,NA,Neutral,Yes,neutral
1269672,2021,2022-01-05,Hobart Hurricanes,Adelaide Strikers,Adelaide Oval,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers,Win,Yes,home
1269673,2021,2022-01-06,Perth Scorchers,Sydney Thunder,Carrara Oval,Sydney Thunder,Perth Scorchers,bat,NA,Neutral,No,neutral
1269674,2021,2022-01-06,Brisbane Heat,Melbourne Renegades,"GMHBA Stadium, South Geelong, Victoria",Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades,Win,Yes,home
1269675,2021,2022-01-04,Perth Scorchers,Sydney Sixers,Carrara Oval,Perth Scorchers,Perth Scorchers,bat,NA,Neutral,Yes,neutral
1269676,2021,2022-01-15,Adelaide Strikers,Melbourne Stars,Adelaide Oval,Adelaide Strikers,Melbourne Stars,field,Adelaide Strikers,Win,No,away
1269677,2021,2022-01-08,Sydney Thunder,Melbourne Renegades,"Docklands Stadium, Melbourne",Sydney Thunder,Melbourne Renegades,field,Melbourne Renegades,Lose,No,home
1269678,2021,2022-01-08,Brisbane Heat,Hobart Hurricanes,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Hobart Hurricanes,Hobart Hurricanes,field,Brisbane Heat,Lose,Yes,away
1269679,2021,2022-01-09,Sydney Sixers,Perth Scorchers,"International Sports Stadium, Coffs Harbour",Perth Scorchers,Sydney Sixers,bat,NA,Neutral,No,neutral
1269680,2021,2022-01-10,Adelaide Strikers,Melbourne Stars,Melbourne Cricket Ground,Melbourne Stars,Melbourne Stars,field,Melbourne Stars,Win,Yes,home
1269681,2021,2022-01-10,Hobart Hurricanes,Sydney Thunder,Melbourne Cricket Ground,Sydney Thunder,Hobart Hurricanes,bat,NA,Neutral,No,neutral
1269682,2021,2022-01-11,Sydney Sixers,Melbourne Renegades,"GMHBA Stadium, South Geelong, Victoria",Sydney Sixers,Sydney Sixers,bat,Melbourne Renegades,Lose,Yes,away
1269683,2021,2022-01-12,Adelaide Strikers,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Adelaide Strikers,Adelaide Strikers,bat,Brisbane Heat,Lose,Yes,away
1269684,2021,2022-01-13,Hobart Hurricanes,Sydney Thunder,"Docklands Stadium, Melbourne",Hobart Hurricanes,Hobart Hurricanes,bat,NA,Neutral,Yes,neutral
1269685,2021,2022-01-13,Melbourne Renegades,Melbourne Stars,"Docklands Stadium, Melbourne",Melbourne Stars,Melbourne Renegades,bat,Melbourne Renegades,Lose,No,home
1269686,2021,2022-01-14,Perth Scorchers,Adelaide Strikers,Adelaide Oval,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers,Win,Yes,home
1269687,2021,2022-01-15,Sydney Sixers,Sydney Thunder,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Thunder,field,Sydney Sixers,Win,No,away
1269688,2021,2022-01-16,Brisbane Heat,Melbourne Stars,Melbourne Cricket Ground,Melbourne Stars,Brisbane Heat,bat,Melbourne Stars,Win,No,away
1269689,2021,2022-01-17,Sydney Sixers,Adelaide Strikers,Adelaide Oval,Adelaide Strikers,Sydney Sixers,bat,Adelaide Strikers,Win,No,away
1269690,2021,2022-01-17,Brisbane Heat,Perth Scorchers,"Docklands Stadium, Melbourne",Perth Scorchers,Brisbane Heat,bat,NA,Neutral,No,neutral
1269691,2021,2022-01-18,Hobart Hurricanes,Melbourne Renegades,"Docklands Stadium, Melbourne",Hobart Hurricanes,Hobart Hurricanes,bat,Melbourne Renegades,Lose,Yes,away
1269692,2021,2022-01-19,Sydney Sixers,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Sixers,Brisbane Heat,field,Brisbane Heat,Lose,No,home
1269693,2021,2022-01-19,Melbourne Stars,Hobart Hurricanes,Melbourne Cricket Ground,Melbourne Stars,Hobart Hurricanes,field,Melbourne Stars,Win,No,away
1269694,2021,2022-01-19,Sydney Thunder,Melbourne Renegades,Melbourne Cricket Ground,Sydney Thunder,Melbourne Renegades,field,Melbourne Renegades,Lose,No,home
1269695,2021,2022-01-22,Perth Scorchers,Sydney Sixers,"Docklands Stadium, Melbourne",Perth Scorchers,Perth Scorchers,bat,NA,Neutral,Yes,neutral
1269696,2021,2022-01-23,Adelaide Strikers,Sydney Thunder,Melbourne Cricket Ground,Adelaide Strikers,Adelaide Strikers,bat,NA,Neutral,Yes,neutral
1269697,2021,2022-01-26,Adelaide Strikers,Sydney Sixers,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Sixers,field,Sydney Sixers,Win,Yes,home
1269698,2021,2022-01-28,Perth Scorchers,Sydney Sixers,"Docklands Stadium, Melbourne",Perth Scorchers,Sydney Sixers,field,NA,Neutral,No,neutral
1324624,2022,2022-12-13,Melbourne Stars,Sydney Thunder,"Manuka Oval, Canberra",Sydney Thunder,Sydney Thunder,field,Sydney Thunder,Win,Yes,home
1324625,2022,2022-12-14,Adelaide Strikers,Sydney Sixers,Adelaide Oval,Adelaide Strikers,Adelaide Strikers,bat,Adelaide Strikers,Win,Yes,home
1324626,2022,2022-12-15,Melbourne Renegades,Brisbane Heat,"Cazaly's Stadium, Cairns",Melbourne Renegades,Brisbane Heat,field,NA,Neutral,No,neutral
1324627,2022,2022-12-16,Melbourne Stars,Hobart Hurricanes,Melbourne Cricket Ground,Melbourne Stars,Hobart Hurricanes,field,Melbourne Stars,Win,No,away
1324628,2022,2022-12-16,Adelaide Strikers,Sydney Thunder,Sydney Showground Stadium,Adelaide Strikers,Adelaide Strikers,bat,Sydney Thunder,Lose,Yes,away
1324629,2022,2022-12-17,Perth Scorchers,Sydney Sixers,Perth Stadium,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers,Win,Yes,home
1324630,2022,2022-12-18,Sydney Thunder,Melbourne Renegades,"Docklands Stadium, Melbourne",Melbourne Renegades,Sydney Thunder,bat,Melbourne Renegades,Win,No,away
1324631,2022,2022-12-19,Hobart Hurricanes,Perth Scorchers,"University of Tasmania Stadium, Launceston",Hobart Hurricanes,Hobart Hurricanes,bat,Hobart Hurricanes,Win,Yes,home
1324632,2022,2022-12-20,Sydney Thunder,Adelaide Strikers,Adelaide Oval,Adelaide Strikers,Sydney Thunder,bat,Adelaide Strikers,Win,No,away
1324633,2022,2022-12-21,Brisbane Heat,Melbourne Renegades,"GMHBA Stadium, South Geelong, Victoria",Melbourne Renegades,Brisbane Heat,bat,Melbourne Renegades,Win,No,away
1324634,2022,2022-12-22,Sydney Sixers,Hobart Hurricanes,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Sixers,bat,Sydney Sixers,Win,Yes,home
1324635,2022,2022-12-23,Perth Scorchers,Melbourne Stars,"Junction Oval, Melbourne",Perth Scorchers,Perth Scorchers,bat,NA,Neutral,Yes,neutral
1324636,2022,2022-12-23,Brisbane Heat,Adelaide Strikers,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Brisbane Heat,bat,Brisbane Heat,Win,Yes,home
1324637,2022,2022-12-24,Hobart Hurricanes,Melbourne Renegades,"Bellerive Oval, Hobart",Hobart Hurricanes,Hobart Hurricanes,bat,Hobart Hurricanes,Win,Yes,home
1324638,2022,2022-12-26,Melbourne Stars,Sydney Sixers,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Sixers,field,Sydney Sixers,Win,Yes,home
1324639,2022,2022-12-26,Adelaide Strikers,Perth Scorchers,Perth Stadium,Perth Scorchers,Adelaide Strikers,bat,Perth Scorchers,Win,No,away
1324640,2022,2022-12-27,Brisbane Heat,Sydney Thunder,Sydney Showground Stadium,Sydney Thunder,Brisbane Heat,bat,Sydney Thunder,Win,No,away
1324641,2022,2022-12-28,Sydney Sixers,Melbourne Renegades,"Sydney Cricket Ground, Sydney",Sydney Sixers,Melbourne Renegades,field,Sydney Sixers,Win,No,away
1324642,2022,2022-12-29,Sydney Thunder,Brisbane Heat,Carrara Oval,Sydney Thunder,Brisbane Heat,field,Brisbane Heat,Lose,No,home
1324643,2022,2022-12-29,Melbourne Stars,Perth Scorchers,Perth Stadium,Perth Scorchers,Melbourne Stars,bat,Perth Scorchers,Win,No,away
1324644,2022,2022-12-30,Melbourne Renegades,Sydney Sixers,"GMHBA Stadium, South Geelong, Victoria",Sydney Sixers,Melbourne Renegades,bat,Melbourne Renegades,Lose,No,home
1324645,2022,2022-12-31,Sydney Thunder,Hobart Hurricanes,"Lavington Sports Oval, Albury",Sydney Thunder,Hobart Hurricanes,field,NA,Neutral,No,neutral
1324646,2022,2022-12-31,Melbourne Stars,Adelaide Strikers,Adelaide Oval,Melbourne Stars,Melbourne Stars,bat,Adelaide Strikers,Lose,Yes,away
1324647,2022,2023-01-01,Melbourne Renegades,Perth Scorchers,"Docklands Stadium, Melbourne",Perth Scorchers,Melbourne Renegades,bat,Melbourne Renegades,Lose,No,home
1324648,2022,2023-01-01,Brisbane Heat,Sydney Sixers,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Brisbane Heat,bat,Brisbane Heat,Win,Yes,home
1324649,2022,2023-01-02,Adelaide Strikers,Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,Adelaide Strikers,bat,Hobart Hurricanes,Win,No,away
1324650,2022,2023-01-03,Melbourne Renegades,Melbourne Stars,Melbourne Cricket Ground,Melbourne Renegades,Melbourne Stars,field,Melbourne Stars,Lose,No,home
1324652,2022,2023-01-04,Perth Scorchers,Sydney Thunder,Perth Stadium,Sydney Thunder,Perth Scorchers,bat,Perth Scorchers,Lose,No,home
1324653,2022,2023-01-05,Hobart Hurricanes,Adelaide Strikers,Adelaide Oval,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers,Win,Yes,home
1324654,2022,2023-01-06,Melbourne Stars,Sydney Sixers,Melbourne Cricket Ground,Sydney Sixers,Sydney Sixers,field,Melbourne Stars,Lose,Yes,away
1324655,2022,2023-01-07,Hobart Hurricanes,Melbourne Renegades,"Docklands Stadium, Melbourne",Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades,Win,Yes,home
1324656,2022,2023-01-07,Brisbane Heat,Perth Scorchers,Perth Stadium,Perth Scorchers,Perth Scorchers,field,Perth Scorchers,Win,Yes,home
1324657,2022,2023-01-08,Sydney Thunder,Sydney Sixers,Sydney Showground Stadium,Sydney Sixers,Sydney Sixers,field,Sydney Thunder,Lose,Yes,away
1324658,2022,2023-01-09,Melbourne Stars,Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes,Win,Yes,home
1324659,2022,2023-01-10,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,Adelaide Strikers,Melbourne Renegades,field,Adelaide Strikers,Win,No,away
1324660,2022,2023-01-11,Brisbane Heat,Perth Scorchers,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Perth Scorchers,Perth Scorchers,field,Brisbane Heat,Lose,Yes,away
1324661,2022,2023-01-12,Adelaide Strikers,Melbourne Stars,Melbourne Cricket Ground,Melbourne Stars,Melbourne Stars,field,Melbourne Stars,Win,Yes,home
1324662,2022,2023-01-13,Sydney Thunder,Perth Scorchers,Sydney Showground Stadium,Perth Scorchers,Perth Scorchers,field,Sydney Thunder,Lose,Yes,away
1324663,2022,2023-01-14,Brisbane Heat,Adelaide Strikers,Adelaide Oval,Brisbane Heat,Adelaide Strikers,field,Adelaide Strikers,Lose,No,home
1324664,2022,2023-01-14,Melbourne Renegades,Melbourne Stars,"Docklands Stadium, Melbourne",Melbourne Renegades,Melbourne Stars,field,Melbourne Renegades,Win,No,away
1324665,2022,2023-01-15,Sydney Thunder,Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,Sydney Thunder,bat,Hobart Hurricanes,Win,No,away
1324666,2022,2023-01-15,Sydney Sixers,Perth Scorchers,"Sydney Cricket Ground, Sydney",Sydney Sixers,Perth Scorchers,field,Sydney Sixers,Win,No,away
1324667,2022,2023-01-16,Melbourne Stars,Brisbane Heat,Melbourne Cricket Ground,Brisbane Heat,Brisbane Heat,field,Melbourne Stars,Lose,Yes,away
1324668,2022,2023-01-17,Sydney Sixers,Adelaide Strikers,"International Sports Stadium, Coffs Harbour",Sydney Sixers,Adelaide Strikers,field,NA,Neutral,No,neutral
1324669,2022,2023-01-18,Hobart Hurricanes,Perth Scorchers,Perth Stadium,Perth Scorchers,Hobart Hurricanes,bat,Perth Scorchers,Win,No,away
1324670,2022,2023-01-19,Melbourne Renegades,Sydney Thunder,"Manuka Oval, Canberra",Sydney Thunder,Melbourne Renegades,bat,Sydney Thunder,Win,No,away
1324671,2022,2023-01-20,Adelaide Strikers,Perth Scorchers,Adelaide Oval,Perth Scorchers,Adelaide Strikers,bat,Adelaide Strikers,Lose,No,home
1324672,2022,2023-01-20,Brisbane Heat,Hobart Hurricanes,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Hobart Hurricanes,field,Brisbane Heat,Win,No,away
1324673,2022,2023-01-21,Sydney Sixers,Sydney Thunder,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Sixers,bat,Sydney Sixers,Win,Yes,home
1324674,2022,2023-01-22,Brisbane Heat,Melbourne Stars,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Brisbane Heat,bat,Brisbane Heat,Win,Yes,home
1324675,2022,2023-01-22,Perth Scorchers,Melbourne Renegades,Perth Stadium,Perth Scorchers,Melbourne Renegades,field,Perth Scorchers,Win,No,away
1324676,2022,2023-01-23,Sydney Sixers,Hobart Hurricanes,"Bellerive Oval, Hobart",Sydney Sixers,Hobart Hurricanes,field,Hobart Hurricanes,Lose,No,home
1324677,2022,2023-01-24,Adelaide Strikers,Melbourne Renegades,"Docklands Stadium, Melbourne",Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades,Win,Yes,home
1324678,2022,2023-01-25,Hobart Hurricanes,Brisbane Heat,"University of Tasmania Stadium, Launceston",Hobart Hurricanes,Brisbane Heat,field,Hobart Hurricanes,Win,No,away
1324679,2022,2023-01-25,Melbourne Stars,Sydney Thunder,Melbourne Cricket Ground,Sydney Thunder,Sydney Thunder,field,Melbourne Stars,Lose,Yes,away
1324680,2022,2023-01-27,Brisbane Heat,Sydney Thunder,Sydney Showground Stadium,Brisbane Heat,Sydney Thunder,field,Sydney Thunder,Lose,No,home
1324681,2022,2023-01-28,Sydney Sixers,Perth Scorchers,Perth Stadium,Perth Scorchers,Sydney Sixers,bat,Perth Scorchers,Win,No,away
1324682,2022,2023-01-29,Melbourne Renegades,Brisbane Heat,"Docklands Stadium, Melbourne",Brisbane Heat,Brisbane Heat,field,Melbourne Renegades,Lose,Yes,away
1324683,2022,2023-02-02,Sydney Sixers,Brisbane Heat,"Sydney Cricket Ground, Sydney",Brisbane Heat,Sydney Sixers,bat,Sydney Sixers,Lose,No,home
1324684,2022,2023-02-04,Brisbane Heat,Perth Scorchers,Perth Stadium,Perth Scorchers,Brisbane Heat,bat,Perth Scorchers,Win,No,away
1386094,2023,2023-12-07,Brisbane Heat,Melbourne Stars,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Melbourne Stars,field,Brisbane Heat,Win,No,away
1386095,2023,2023-12-08,Sydney Sixers,Melbourne Renegades,"Sydney Cricket Ground, Sydney",Sydney Sixers,Melbourne Renegades,field,Sydney Sixers,Win,No,away
1386098,2023,2023-12-11,Hobart Hurricanes,Sydney Sixers,"University of Tasmania Stadium, Launceston",Sydney Sixers,Hobart Hurricanes,bat,Hobart Hurricanes,Lose,No,home
1386099,2023,2023-12-12,Brisbane Heat,Sydney Thunder,"Manuka Oval, Canberra",Brisbane Heat,Sydney Thunder,field,Sydney Thunder,Lose,No,home
1386100,2023,2023-12-13,Melbourne Stars,Perth Scorchers,Melbourne Cricket Ground,Perth Scorchers,Perth Scorchers,field,Melbourne Stars,Lose,Yes,away
1386101,2023,2023-12-19,Sydney Thunder,Adelaide Strikers,Adelaide Oval,Adelaide Strikers,Sydney Thunder,bat,Adelaide Strikers,Win,No,away
1386102,2023,2023-12-20,Hobart Hurricanes,Perth Scorchers,Perth Stadium,Perth Scorchers,Hobart Hurricanes,bat,Perth Scorchers,Win,No,away
1386103,2023,2023-12-21,Melbourne Renegades,Brisbane Heat,"Docklands Stadium, Melbourne",Brisbane Heat,Brisbane Heat,field,Melbourne Renegades,Lose,Yes,away
1386104,2023,2023-12-22,Sydney Sixers,Adelaide Strikers,"Sydney Cricket Ground, Sydney",Sydney Sixers,Adelaide Strikers,field,Sydney Sixers,Win,No,away
1386105,2023,2023-12-23,Melbourne Stars,Sydney Thunder,"Lavington Sports Oval, Albury",Sydney Thunder,Melbourne Stars,bat,NA,Neutral,No,neutral
1386106,2023,2023-12-23,Melbourne Renegades,Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes,Win,Yes,home
1386107,2023,2023-12-26,Sydney Sixers,Melbourne Stars,"Sydney Cricket Ground, Sydney",Melbourne Stars,Melbourne Stars,field,Sydney Sixers,Lose,Yes,away
1386108,2023,2023-12-26,Perth Scorchers,Melbourne Renegades,Perth Stadium,Perth Scorchers,Melbourne Renegades,field,Perth Scorchers,Win,No,away
1386109,2023,2023-12-27,Brisbane Heat,Sydney Thunder,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Brisbane Heat,bat,Brisbane Heat,Win,Yes,home
1386110,2023,2023-12-28,Hobart Hurricanes,Melbourne Stars,"Bellerive Oval, Hobart",Melbourne Stars,Melbourne Stars,field,Hobart Hurricanes,Lose,Yes,away
1386111,2023,2023-12-29,Adelaide Strikers,Melbourne Renegades,"Docklands Stadium, Melbourne",Melbourne Renegades,Adelaide Strikers,bat,Melbourne Renegades,Win,No,away
1386113,2023,2023-12-31,Adelaide Strikers,Melbourne Stars,Adelaide Oval,Melbourne Stars,Melbourne Stars,field,Adelaide Strikers,Lose,Yes,away
1386114,2023,2024-01-01,Sydney Thunder,Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes,Win,Yes,home
1386116,2023,2024-01-02,Melbourne Renegades,Melbourne Stars,Melbourne Cricket Ground,Melbourne Stars,Melbourne Stars,field,Melbourne Stars,Win,Yes,home
1386117,2023,2024-01-03,Sydney Sixers,Brisbane Heat,"International Sports Stadium, Coffs Harbour",Brisbane Heat,Brisbane Heat,field,NA,Neutral,Yes,neutral
1386118,2023,2024-01-03,Perth Scorchers,Adelaide Strikers,Perth Stadium,Perth Scorchers,Adelaide Strikers,field,Perth Scorchers,Win,No,away
1386119,2023,2024-01-04,Melbourne Renegades,Hobart Hurricanes,"Docklands Stadium, Melbourne",Hobart Hurricanes,Hobart Hurricanes,field,Melbourne Renegades,Lose,Yes,away
1386120,2023,2024-01-05,Perth Scorchers,Adelaide Strikers,Adelaide Oval,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers,Win,Yes,home
1386121,2023,2024-01-06,Melbourne Stars,Sydney Sixers,Melbourne Cricket Ground,Sydney Sixers,Sydney Sixers,field,Melbourne Stars,Lose,Yes,away
1386122,2023,2024-01-07,Brisbane Heat,Hobart Hurricanes,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Hobart Hurricanes,field,Brisbane Heat,Win,No,away
1386123,2023,2024-01-08,Sydney Thunder,Perth Scorchers,Sydney Showground Stadium,Perth Scorchers,Perth Scorchers,field,Sydney Thunder,Lose,Yes,away
1386124,2023,2024-01-09,Hobart Hurricanes,Adelaide Strikers,Adelaide Oval,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers,Win,Yes,home
1386125,2023,2024-01-10,Brisbane Heat,Perth Scorchers,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Brisbane Heat,bat,Brisbane Heat,Win,Yes,home
1386126,2023,2024-01-11,Hobart Hurricanes,Adelaide Strikers,"Bellerive Oval, Hobart",Adelaide Strikers,Adelaide Strikers,field,Hobart Hurricanes,Lose,Yes,away
1386127,2023,2024-01-12,Sydney Sixers,Sydney Thunder,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Thunder,field,Sydney Sixers,Win,No,away
1386128,2023,2024-01-13,Perth Scorchers,Brisbane Heat,Perth Stadium,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers,Win,Yes,home
1386129,2023,2024-01-13,Melbourne Stars,Melbourne Renegades,"Docklands Stadium, Melbourne",Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades,Win,Yes,home
1386130,2023,2024-01-14,Sydney Thunder,Adelaide Strikers,"Manuka Oval, Canberra",Adelaide Strikers,Sydney Thunder,bat,Sydney Thunder,Lose,No,home
1386131,2023,2024-01-15,Hobart Hurricanes,Melbourne Stars,Melbourne Cricket Ground,Hobart Hurricanes,Melbourne Stars,field,Melbourne Stars,Lose,No,home
1386132,2023,2024-01-16,Perth Scorchers,Sydney Sixers,Perth Stadium,Sydney Sixers,Perth Scorchers,bat,Perth Scorchers,Lose,No,home
1386134,2023,2024-01-19,Sydney Sixers,Brisbane Heat,Carrara Oval,Sydney Sixers,Brisbane Heat,field,Brisbane Heat,Lose,No,home
1386135,2023,2024-01-20,Adelaide Strikers,Perth Scorchers,Perth Stadium,Adelaide Strikers,Perth Scorchers,field,Perth Scorchers,Lose,No,home
1386136,2023,2024-01-22,Brisbane Heat,Adelaide Strikers,Carrara Oval,Brisbane Heat,Brisbane Heat,bat,Brisbane Heat,Win,Yes,home
1386137,2023,2024-01-24,Brisbane Heat,Sydney Sixers,"Sydney Cricket Ground, Sydney",Brisbane Heat,Sydney Sixers,field,Sydney Sixers,Lose,No,home
1443057,2024,2024-12-15,Melbourne Stars,Perth Scorchers,Perth Stadium,Perth Scorchers,Melbourne Stars,bat,Perth Scorchers,Win,No,away
1443058,2024,2024-12-16,Melbourne Renegades,Sydney Sixers,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Sixers,field,Sydney Sixers,Win,Yes,home
1443059,2024,2024-12-17,Adelaide Strikers,Sydney Thunder,"Manuka Oval, Canberra",Sydney Thunder,Sydney Thunder,field,Sydney Thunder,Win,Yes,home
1443060,2024,2024-12-18,Melbourne Stars,Brisbane Heat,Melbourne Cricket Ground,Brisbane Heat,Brisbane Heat,field,Melbourne Stars,Lose,Yes,away
1443061,2024,2024-12-19,Hobart Hurricanes,Melbourne Renegades,"GMHBA Stadium, South Geelong, Victoria",Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades,Win,Yes,home
1443062,2024,2024-12-20,Adelaide Strikers,Melbourne Stars,Adelaide Oval,Adelaide Strikers,Melbourne Stars,field,Adelaide Strikers,Win,No,away
1443063,2024,2024-12-21,Perth Scorchers,Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes,Win,Yes,home
1443064,2024,2024-12-21,Sydney Thunder,Sydney Sixers,Sydney Showground Stadium,Sydney Sixers,Sydney Sixers,field,Sydney Thunder,Lose,Yes,away
1443065,2024,2024-12-22,Adelaide Strikers,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Brisbane Heat,field,Brisbane Heat,Win,Yes,home
1443066,2024,2024-12-23,Perth Scorchers,Melbourne Renegades,"Docklands Stadium, Melbourne",Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades,Win,Yes,home
1443067,2024,2024-12-26,Melbourne Stars,Sydney Sixers,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Sixers,field,Sydney Sixers,Win,Yes,home
1443068,2024,2024-12-26,Perth Scorchers,Brisbane Heat,Perth Stadium,Perth Scorchers,Brisbane Heat,field,Perth Scorchers,Win,No,away
1443069,2024,2024-12-27,Hobart Hurricanes,Adelaide Strikers,Adelaide Oval,Hobart Hurricanes,Adelaide Strikers,field,Adelaide Strikers,Lose,No,home
1443070,2024,2024-12-28,Sydney Thunder,Melbourne Stars,"Manuka Oval, Canberra",Sydney Thunder,Melbourne Stars,field,Sydney Thunder,Win,No,away
1443071,2024,2024-12-29,Brisbane Heat,Sydney Sixers,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Sixers,Sydney Sixers,field,Brisbane Heat,Lose,Yes,away
1443072,2024,2024-12-30,Sydney Thunder,Melbourne Renegades,Sydney Showground Stadium,Sydney Thunder,Melbourne Renegades,field,Sydney Thunder,Win,No,away
1443073,2024,2024-12-31,Adelaide Strikers,Perth Scorchers,Adelaide Oval,Perth Scorchers,Perth Scorchers,field,Adelaide Strikers,Lose,Yes,away
1443074,2024,2025-01-01,Hobart Hurricanes,Sydney Sixers,"Bellerive Oval, Hobart",Hobart Hurricanes,Sydney Sixers,field,Hobart Hurricanes,Win,No,away
1443075,2024,2025-01-01,Brisbane Heat,Melbourne Stars,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Melbourne Stars,Melbourne Stars,field,Brisbane Heat,Lose,Yes,away
1443076,2024,2025-01-02,Melbourne Renegades,Adelaide Strikers,"Docklands Stadium, Melbourne",Adelaide Strikers,Adelaide Strikers,field,Melbourne Renegades,Lose,Yes,away
1443078,2024,2025-01-03,Perth Scorchers,Sydney Thunder,Perth Stadium,Sydney Thunder,Sydney Thunder,field,Perth Scorchers,Lose,Yes,away
1443079,2024,2025-01-04,Melbourne Renegades,Melbourne Stars,Melbourne Cricket Ground,Melbourne Stars,Melbourne Stars,field,Melbourne Stars,Win,Yes,home
