"match_id","date","team1","team2","winner","result","winner_by_runs","winner_by_wickets","venue","toss_winner","toss_decision","home_team","city","season"
1114856,2017-12-19,"Sydney Thunder","Sydney Sixers","Sydney Thunder",NA,NA,5,"Sydney Showground Stadium","Sydney Thunder","field","Sydney Thunder","Sydney",2017
1114857,2017-12-20,"Brisbane Heat","Melbourne Stars","Brisbane Heat",NA,15,NA,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Melbourne Stars","field","Brisbane Heat","Brisbane",2017
1114858,2017-12-21,"Hobart Hurricanes","Melbourne Renegades","Melbourne Renegades",NA,NA,7,"Bellerive Oval, Hobart","Melbourne Renegades","field","Hobart Hurricanes","Hobart",2017
1114859,2017-12-22,"Adelaide Strikers","Sydney Thunder","Adelaide Strikers",NA,53,NA,"Adelaide Oval","Adelaide Strikers","bat","Adelaide Strikers","Adelaide",2017
1114860,2017-12-23,"Sydney Sixers","Perth Scorchers","Perth Scorchers",NA,NA,6,"Sydney Cricket Ground, Sydney","Perth Scorchers","field","Sydney Sixers","Sydney",2017
1114861,2017-12-23,"Melbourne Renegades","Brisbane Heat","Melbourne Renegades",NA,NA,7,"Docklands Stadium, Melbourne","Melbourne Renegades","field","Melbourne Renegades","Melbourne",2017
1114862,2017-12-26,"Perth Scorchers","Melbourne Stars","Perth Scorchers",NA,13,NA,"Western Australia Cricket Association Ground","Melbourne Stars","field","Perth Scorchers","Perth",2017
1114863,2017-12-27,"Brisbane Heat","Sydney Thunder","Brisbane Heat",NA,NA,6,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Sydney Thunder","bat","Brisbane Heat","Brisbane",2017
1114864,2017-12-28,"Sydney Sixers","Adelaide Strikers","Adelaide Strikers",NA,6,NA,"Sydney Cricket Ground, Sydney","Sydney Sixers","field","Sydney Sixers","Sydney",2017
1114865,2017-12-29,"Melbourne Renegades","Perth Scorchers","Perth Scorchers",NA,NA,3,"Docklands Stadium, Melbourne","Perth Scorchers","field","Melbourne Renegades","Melbourne",2017
1114866,2017-12-30,"Hobart Hurricanes","Sydney Thunder","Sydney Thunder",NA,57,NA,"Aurora Stadium, Launceston","Hobart Hurricanes","field","Hobart Hurricanes","Launceston",2017
1114867,2017-12-31,"Adelaide Strikers","Brisbane Heat","Adelaide Strikers",NA,56,NA,"Adelaide Oval","Adelaide Strikers","bat","Adelaide Strikers","Adelaide",2017
1114868,2018-01-01,"Sydney Thunder","Hobart Hurricanes","Hobart Hurricanes",NA,9,NA,"Sydney Showground Stadium","Sydney Thunder","field","Sydney Thunder","Sydney",2017
1114869,2018-01-01,"Perth Scorchers","Sydney Sixers","Perth Scorchers",NA,NA,6,"Western Australia Cricket Association Ground","Perth Scorchers","field","Perth Scorchers","Perth",2017
1114870,2018-01-02,"Melbourne Stars","Brisbane Heat","Brisbane Heat",NA,NA,9,"Melbourne Cricket Ground","Brisbane Heat","field","Melbourne Stars","Melbourne",2017
1114871,2018-01-03,"Melbourne Renegades","Sydney Sixers","Melbourne Renegades",NA,NA,8,"GMHBA Stadium, South Geelong, Victoria","Melbourne Renegades","field","Melbourne Renegades","Geelong",2017
1114872,2018-01-04,"Hobart Hurricanes","Adelaide Strikers","Hobart Hurricanes",NA,7,NA,"Bellerive Oval, Hobart","Hobart Hurricanes","bat","Hobart Hurricanes","Hobart",2017
1114873,2018-01-05,"Brisbane Heat","Perth Scorchers","Brisbane Heat",NA,49,NA,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Perth Scorchers","field","Brisbane Heat","Brisbane",2017
1114874,2018-01-06,"Melbourne Stars","Melbourne Renegades","Melbourne Renegades",NA,NA,6,"Melbourne Cricket Ground","Melbourne Renegades","field","Melbourne Stars","Melbourne",2017
1114875,2018-01-07,"Sydney Thunder","Adelaide Strikers","Adelaide Strikers",NA,25,NA,"Sydney Showground Stadium","Adelaide Strikers","bat","Sydney Thunder","Sydney",2017
1114876,2018-01-08,"Hobart Hurricanes","Sydney Sixers","Hobart Hurricanes",NA,5,NA,"Bellerive Oval, Hobart","Hobart Hurricanes","bat","Hobart Hurricanes","Hobart",2017
1114877,2018-01-08,"Perth Scorchers","Melbourne Renegades","Perth Scorchers",NA,NA,5,"Western Australia Cricket Association Ground","Perth Scorchers","field","Perth Scorchers","Perth",2017
1114878,2018-01-09,"Adelaide Strikers","Melbourne Stars","Adelaide Strikers",NA,NA,8,"Adelaide Oval","Melbourne Stars","bat","Adelaide Strikers","Adelaide",2017
1114879,2018-01-10,"Brisbane Heat","Hobart Hurricanes","Hobart Hurricanes",NA,3,NA,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Hobart Hurricanes","bat","Brisbane Heat","Brisbane",2017
1114880,2018-01-11,"Sydney Thunder","Perth Scorchers","Sydney Thunder",NA,3,NA,"Sydney Showground Stadium","Sydney Thunder","bat","Sydney Thunder","Sydney",2017
1114881,2018-01-12,"Melbourne Renegades","Melbourne Stars","Melbourne Stars",NA,23,NA,"Docklands Stadium, Melbourne","Melbourne Renegades","field","Melbourne Renegades","Melbourne",2017
1114882,2018-01-13,"Adelaide Strikers","Perth Scorchers","Perth Scorchers",NA,NA,6,"Traeger Park","Perth Scorchers","field",NA,"Northern Territory",2017
1114883,2018-01-13,"Sydney Sixers","Sydney Thunder","Sydney Sixers",NA,NA,8,"Sydney Cricket Ground, Sydney","Sydney Sixers","field","Sydney Sixers","Sydney",2017
1114884,2018-01-15,"Hobart Hurricanes","Brisbane Heat","Hobart Hurricanes",NA,NA,6,"Bellerive Oval, Hobart","Brisbane Heat","bat","Hobart Hurricanes","Hobart",2017
1114885,2018-01-16,"Melbourne Stars","Sydney Sixers","Sydney Sixers",NA,NA,8,"Melbourne Cricket Ground","Sydney Sixers","field","Melbourne Stars","Melbourne",2017
1114886,2018-01-17,"Adelaide Strikers","Hobart Hurricanes","Adelaide Strikers",NA,11,NA,"Adelaide Oval","Adelaide Strikers","bat","Adelaide Strikers","Adelaide",2017
1114887,2018-01-18,"Sydney Sixers","Brisbane Heat","Sydney Sixers",NA,NA,9,"Sydney Cricket Ground, Sydney","Sydney Sixers","field","Sydney Sixers","Sydney",2017
1114888,2018-01-20,"Melbourne Stars","Sydney Thunder","Sydney Thunder",NA,NA,7,"Melbourne Cricket Ground","Sydney Thunder","field","Melbourne Stars","Melbourne",2017
1114889,2018-01-20,"Perth Scorchers","Hobart Hurricanes","Perth Scorchers",NA,NA,5,"Western Australia Cricket Association Ground","Perth Scorchers","field","Perth Scorchers","Perth",2017
1114890,2018-01-22,"Melbourne Renegades","Adelaide Strikers","Adelaide Strikers",NA,26,NA,"Docklands Stadium, Melbourne","Melbourne Renegades","field","Melbourne Renegades","Melbourne",2017
1114891,2018-01-23,"Sydney Sixers","Melbourne Stars","Sydney Sixers",NA,NA,5,"Sydney Cricket Ground, Sydney","Sydney Sixers","field","Sydney Sixers","Sydney",2017
1114892,2018-01-24,"Sydney Thunder","Melbourne Renegades","Melbourne Renegades",NA,9,NA,"Manuka Oval, Canberra","Sydney Thunder","field","Sydney Thunder","Canberra",2017
1114893,2018-01-25,"Perth Scorchers","Adelaide Strikers","Perth Scorchers",NA,NA,4,"Western Australia Cricket Association Ground","Perth Scorchers","field","Perth Scorchers","Perth",2017
