"match_id","date","team1","team2","winner","result","winner_by_runs","winner_by_wickets","venue","toss_winner","toss_decision","home_team","city","season"
1023581,2016-12-20,"Sydney Thunder","Sydney Sixers","Sydney Sixers",NA,NA,9,"Sydney Showground Stadium","Sydney Sixers","field","Sydney Thunder","Sydney",2016
1023583,2016-12-21,"Adelaide Strikers","Brisbane Heat","Brisbane Heat",NA,10,NA,"Adelaide Oval","Adelaide Strikers","field","Adelaide Strikers","Adelaide",2016
1023585,2016-12-22,"Melbourne Renegades","Sydney Thunder","Melbourne Renegades",NA,49,NA,"Docklands Stadium, Melbourne","Sydney Thunder","field","Melbourne Renegades","Melbourne",2016
1023587,2016-12-23,"Sydney Sixers","Hobart Hurricanes","Hobart Hurricanes",NA,60,NA,"Sydney Cricket Ground, Sydney","Sydney Sixers","field","Sydney Sixers","Sydney",2016
1023589,2016-12-23,"Perth Scorchers","Adelaide Strikers","Perth Scorchers",NA,48,NA,"Western Australia Cricket Association Ground","Adelaide Strikers","field","Perth Scorchers","Perth",2016
1023591,2016-12-26,"Hobart Hurricanes","Melbourne Stars","Melbourne Stars",NA,NA,7,"Bellerive Oval, Hobart","Hobart Hurricanes","bat","Hobart Hurricanes","Hobart",2016
1023593,2016-12-27,"Sydney Sixers","Perth Scorchers","Sydney Sixers",NA,NA,6,"Sydney Cricket Ground, Sydney","Perth Scorchers","bat","Sydney Sixers","Sydney",2016
1023595,2016-12-28,"Sydney Thunder","Brisbane Heat","Brisbane Heat",NA,NA,3,"Sydney Showground Stadium","Brisbane Heat","field","Sydney Thunder","Sydney",2016
1023597,2016-12-29,"Melbourne Renegades","Perth Scorchers","Perth Scorchers",NA,NA,4,"Docklands Stadium, Melbourne","Perth Scorchers","field","Melbourne Renegades","Melbourne",2016
1023599,2016-12-30,"Brisbane Heat","Hobart Hurricanes","Brisbane Heat",NA,NA,7,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane Heat","field","Brisbane Heat","Brisbane",2016
1023601,2016-12-31,"Adelaide Strikers","Sydney Sixers","Adelaide Strikers",NA,48,NA,"Adelaide Oval","Sydney Sixers","field","Adelaide Strikers","Adelaide",2016
1023603,2017-01-01,"Melbourne Stars","Melbourne Renegades","Melbourne Renegades",NA,7,NA,"Melbourne Cricket Ground","Melbourne Stars","field","Melbourne Stars","Melbourne",2016
1023605,2017-01-01,"Perth Scorchers","Sydney Thunder","Perth Scorchers",NA,50,NA,"Western Australia Cricket Association Ground","Sydney Thunder","field","Perth Scorchers","Perth",2016
1023607,2017-01-02,"Hobart Hurricanes","Adelaide Strikers","Hobart Hurricanes",NA,NA,8,"Bellerive Oval, Hobart","Hobart Hurricanes","field","Hobart Hurricanes","Hobart",2016
1023609,2017-01-03,"Brisbane Heat","Sydney Sixers","Sydney Sixers",NA,NA,3,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Sydney Sixers","field","Brisbane Heat","Brisbane",2016
1023611,2017-01-04,"Sydney Thunder","Melbourne Stars","Sydney Thunder",NA,NA,6,"Sydney Showground Stadium","Sydney Thunder","field","Sydney Thunder","Sydney",2016
1023613,2017-01-05,"Perth Scorchers","Brisbane Heat","Brisbane Heat",NA,NA,9,"Western Australia Cricket Association Ground","Perth Scorchers","bat","Perth Scorchers","Perth",2016
1023615,2017-01-06,"Adelaide Strikers","Hobart Hurricanes","Adelaide Strikers",NA,NA,5,"Adelaide Oval","Adelaide Strikers","field","Adelaide Strikers","Adelaide",2016
