"match_id","date","team1","team2","winner","result","winner_by_runs","winner_by_wickets","venue","toss_winner","toss_decision","home_team","city","season"
1152511,2018-12-19,"Brisbane Heat","Adelaide Strikers","Adelaide Strikers",NA,NA,5,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Adelaide Strikers","field","Brisbane Heat","Brisbane",2018
1152512,2018-12-20,"Melbourne Renegades","Perth Scorchers","Melbourne Renegades",NA,NA,4,"Docklands Stadium, Melbourne","Melbourne Renegades","field","Melbourne Renegades","Melbourne",2018
1152513,2018-12-21,"Sydney Thunder","Melbourne Stars","Sydney Thunder",NA,15,NA,"Manuka Oval, Canberra","Melbourne Stars","field","Sydney Thunder","Canberra",2018
1152514,2018-12-22,"Sydney Sixers","Perth Scorchers","Sydney Sixers",NA,17,NA,"Sydney Cricket Ground, Sydney","Sydney Sixers","bat","Sydney Sixers","Sydney",2018
1152515,2018-12-22,"Brisbane Heat","Hobart Hurricanes","Hobart Hurricanes",NA,15,NA,"Carrara Oval","Brisbane Heat","field","Brisbane Heat","Gold Coast",2018
1152516,2018-12-23,"Adelaide Strikers","Melbourne Renegades","Melbourne Renegades",NA,NA,5,"Adelaide Oval","Melbourne Renegades","field","Adelaide Strikers","Adelaide",2018
1152517,2018-12-24,"Hobart Hurricanes","Melbourne Stars","Hobart Hurricanes",NA,NA,6,"Bellerive Oval, Hobart","Hobart Hurricanes","field","Hobart Hurricanes","Hobart",2018
1152518,2018-12-24,"Sydney Thunder","Sydney Sixers","Sydney Thunder",NA,21,NA,"Sydney Showground Stadium","Sydney Sixers","field","Sydney Thunder","Sydney",2018
1152519,2018-12-26,"Perth Scorchers","Adelaide Strikers","Perth Scorchers",NA,NA,7,"Perth Stadium","Perth Scorchers","field","Perth Scorchers","Perth",2018
1152520,2018-12-27,"Sydney Sixers","Melbourne Stars","Melbourne Stars",NA,NA,5,"Sydney Cricket Ground, Sydney","Melbourne Stars","field","Sydney Sixers","Sydney",2018
1152521,2018-12-28,"Hobart Hurricanes","Sydney Thunder","Hobart Hurricanes",NA,NA,7,"Bellerive Oval, Hobart","Hobart Hurricanes","field","Hobart Hurricanes","Hobart",2018
1152522,2018-12-29,"Melbourne Renegades","Sydney Sixers","Sydney Sixers",NA,33,NA,"Docklands Stadium, Melbourne","Melbourne Renegades","field","Melbourne Renegades","Melbourne",2018
1152523,2018-12-30,"Hobart Hurricanes","Perth Scorchers","Hobart Hurricanes",NA,NA,6,"Aurora Stadium, Launceston","Hobart Hurricanes","field","Hobart Hurricanes","Launceston",2018
1152524,2018-12-31,"Adelaide Strikers","Sydney Thunder","Adelaide Strikers",NA,20,NA,"Adelaide Oval","Adelaide Strikers","bat","Adelaide Strikers","Adelaide",2018
1152525,2019-01-01,"Brisbane Heat","Sydney Sixers","Sydney Sixers",NA,NA,5,"Carrara Oval","Sydney Sixers","field","Brisbane Heat","Gold Coast",2018
1152526,2019-01-01,"Melbourne Stars","Melbourne Renegades","Melbourne Stars",NA,NA,7,"Melbourne Cricket Ground","Melbourne Stars","field","Melbourne Stars","Melbourne",2018
