"match_id","date","team1","team2","winner","result","winner_by_runs","winner_by_wickets","venue","toss_winner","toss_decision","home_team","city","season"
1269638,2021-12-05,"Sydney Sixers","Melbourne Stars","Sydney Sixers",NA,152,NA,"Sydney Cricket Ground, Sydney","Melbourne Stars","field","Sydney Sixers","Sydney",2021
1269639,2021-12-06,"Brisbane Heat","Sydney Thunder","Sydney Thunder",NA,NA,7,"Manuka Oval, Canberra","Sydney Thunder","field","Sydney Thunder","Canberra",2021
1269640,2021-12-07,"Melbourne Renegades","Adelaide Strikers","Melbourne Renegades",NA,2,NA,"Docklands Stadium, Melbourne","Melbourne Renegades","bat","Melbourne Renegades","Melbourne",2021
1269641,2021-12-08,"Sydney Sixers","Hobart Hurricanes","Sydney Sixers",NA,14,NA,"Aurora Stadium, Launceston","Hobart Hurricanes","field","Hobart Hurricanes","Launceston",2021
1269642,2021-12-08,"Perth Scorchers","Brisbane Heat","Perth Scorchers",NA,6,NA,"Perth Stadium","Perth Scorchers","bat","Perth Scorchers","Perth",2021
1269643,2021-12-09,"Adelaide Strikers","Melbourne Renegades","Adelaide Strikers",NA,49,NA,"Adelaide Oval","Adelaide Strikers","bat","Adelaide Strikers","Adelaide",2021
1269644,2021-12-10,"Melbourne Stars","Sydney Thunder","Melbourne Stars",NA,4,NA,"Melbourne Cricket Ground","Sydney Thunder","field","Melbourne Stars","Melbourne",2021
1269645,2021-12-11,"Hobart Hurricanes","Sydney Sixers","Hobart Hurricanes",NA,44,NA,"Sydney Cricket Ground, Sydney","Hobart Hurricanes","bat","Sydney Sixers","Sydney",2021
1269646,2021-12-11,"Perth Scorchers","Adelaide Strikers","Perth Scorchers",NA,49,NA,"Sydney Showground Stadium","Perth Scorchers","bat",NA,"Sydney",2021
1269647,2021-12-12,"Sydney Thunder","Melbourne Stars","Melbourne Stars",NA,NA,6,"Sydney Showground Stadium","Melbourne Stars","field","Sydney Thunder","Sydney",2021
1269648,2021-12-13,"Melbourne Renegades","Brisbane Heat","Brisbane Heat",NA,NA,5,"Carrara Oval","Brisbane Heat","field","Brisbane Heat","Gold Coast",2021
