"match_id","date","team1","team2","winner","result","winner_by_runs","winner_by_wickets","venue","toss_winner","toss_decision","home_team","city","season"
571232,2012-12-07,"Melbourne Renegades","Melbourne Stars","Melbourne Renegades",NA,NA,8,"Docklands Stadium, Melbourne","Melbourne Stars","bat","Melbourne Renegades","Melbourne",2012
571233,2012-12-08,"Sydney Sixers","Sydney Thunder","Sydney Sixers",NA,NA,7,"Sydney Cricket Ground, Sydney","Sydney Sixers","field","Sydney Sixers","Sydney",2012
571234,2012-12-09,"Brisbane Heat","Hobart Hurricanes","Hobart Hurricanes",NA,NA,8,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane Heat","bat","Brisbane Heat","Brisbane",2012
571235,2012-12-09,"Perth Scorchers","Adelaide Strikers","Adelaide Strikers",NA,NA,6,"Western Australia Cricket Association Ground","Perth Scorchers","bat","Perth Scorchers","Perth",2012
571236,2012-12-12,"Perth Scorchers","Melbourne Stars","Melbourne Stars",NA,24,NA,"Western Australia Cricket Association Ground","Melbourne Stars","field","Perth Scorchers","Perth",2012
571237,2012-12-13,"Adelaide Strikers","Brisbane Heat","Brisbane Heat",NA,NA,3,"Adelaide Oval","Brisbane Heat","field","Adelaide Strikers","Adelaide",2012
571238,2012-12-14,"Sydney Thunder","Melbourne Renegades","Melbourne Renegades",NA,NA,5,"Stadium Australia","Melbourne Renegades","field","Sydney Thunder","Sydney",2012
571239,2012-12-15,"Melbourne Stars","Hobart Hurricanes","Melbourne Stars",NA,NA,4,"Melbourne Cricket Ground","Melbourne Stars","field","Melbourne Stars","Melbourne",2012
571240,2012-12-16,"Sydney Sixers","Perth Scorchers","Perth Scorchers",NA,NA,7,"Sydney Cricket Ground, Sydney","Perth Scorchers","field","Sydney Sixers","Sydney",2012
571241,2012-12-18,"Brisbane Heat","Perth Scorchers","Perth Scorchers",NA,NA,9,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Perth Scorchers","field","Brisbane Heat","Brisbane",2012
571242,2012-12-19,"Melbourne Renegades","Hobart Hurricanes","Melbourne Renegades",NA,NA,7,"Docklands Stadium, Melbourne","Melbourne Renegades","field","Melbourne Renegades","Melbourne",2012
571243,2012-12-20,"Sydney Thunder","Adelaide Strikers","Adelaide Strikers",NA,51,NA,"Stadium Australia","Sydney Thunder","field","Sydney Thunder","Sydney",2012
571245,2012-12-22,"Melbourne Renegades","Brisbane Heat","Melbourne Renegades",NA,NA,6,"Docklands Stadium, Melbourne","Brisbane Heat","bat","Melbourne Renegades","Melbourne",2012
571247,2012-12-23,"Adelaide Strikers","Sydney Sixers","Adelaide Strikers",NA,NA,9,"Adelaide Oval","Sydney Sixers","bat","Adelaide Strikers","Adelaide",2012
571248,2012-12-26,"Sydney Sixers","Hobart Hurricanes","Hobart Hurricanes",NA,NA,7,"Sydney Cricket Ground, Sydney","Hobart Hurricanes","field","Sydney Sixers","Sydney",2012
571249,2012-12-27,"Adelaide Strikers","Melbourne Stars","Melbourne Stars",NA,8,NA,"Adelaide Oval","Melbourne Stars","bat","Adelaide Strikers","Adelaide",2012
571250,2012-12-28,"Sydney Thunder","Brisbane Heat","Brisbane Heat",NA,NA,5,"Stadium Australia","Sydney Thunder","bat","Sydney Thunder","Sydney",2012
571251,2012-12-29,"Perth Scorchers","Melbourne Renegades","Perth Scorchers",NA,51,NA,"Western Australia Cricket Association Ground","Melbourne Renegades","field","Perth Scorchers","Perth",2012
571252,2012-12-30,"Sydney Thunder","Sydney Sixers","Sydney Sixers",NA,NA,4,"Stadium Australia","Sydney Thunder","bat","Sydney Sixers","Sydney",2012
571254,2013-01-02,"Melbourne Renegades","Adelaide Strikers","Melbourne Renegades",NA,48,NA,"Docklands Stadium, Melbourne","Adelaide Strikers","field","Melbourne Renegades","Melbourne",2012
571256,2013-01-04,"Perth Scorchers","Sydney Thunder","Perth Scorchers",NA,NA,9,"Western Australia Cricket Association Ground","Sydney Thunder","bat","Perth Scorchers","Perth",2012
571258,2013-01-06,"Melbourne Stars","Melbourne Renegades","Melbourne Renegades",NA,NA,9,"Melbourne Cricket Ground","Melbourne Stars","bat","Melbourne Stars","Melbourne",2012
571259,2013-01-07,"Brisbane Heat","Sydney Sixers","Sydney Sixers",NA,NA,5,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane Heat","bat","Brisbane Heat","Brisbane",2012
571260,2013-01-08,"Melbourne Stars","Sydney Thunder","Melbourne Stars",NA,13,NA,"Melbourne Cricket Ground","Melbourne Stars","bat","Melbourne Stars","Melbourne",2012
571262,2013-01-10,"Adelaide Strikers","Perth Scorchers","Perth Scorchers",NA,98,NA,"Adelaide Oval","Perth Scorchers","bat","Adelaide Strikers","Adelaide",2012
571264,2013-01-15,"Melbourne Renegades","Brisbane Heat","Brisbane Heat",NA,15,NA,"Docklands Stadium, Melbourne","Brisbane Heat","bat","Melbourne Renegades","Melbourne",2012
571265,2013-01-16,"Perth Scorchers","Melbourne Stars","Perth Scorchers",NA,NA,8,"Western Australia Cricket Association Ground","Perth Scorchers","field","Perth Scorchers","Perth",2012
571266,2013-01-19,"Perth Scorchers","Brisbane Heat","Brisbane Heat",NA,34,NA,"Western Australia Cricket Association Ground","Brisbane Heat","bat","Perth Scorchers","Perth",2012
