match_id,date,team1,team2,winner,result,winner_by_runs,winner_by_wickets,venue,toss_winner,toss_decision,home_team
756751,2014-12-28,Brisbane Heat,Melbourne Stars,Brisbane Heat,,1,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Melbourne Stars,field,Brisbane Heat
756753,2014-12-29,Sydney Sixers,Perth Scorchers,Perth Scorchers,,36,,"Sydney Cricket Ground, Sydney",Perth Scorchers,bat,Sydney Sixers
756755,2014-12-30,Melbourne Renegades,Sydney Thunder,Melbourne Renegades,,,8,"Docklands Stadium, Melbourne",Melbourne Renegades,field,Melbourne Renegades
756757,2014-12-31,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,,,8,Adelaide Oval,Hobart Hurricanes,bat,Adelaide Strikers
756759,2015-01-01,Perth Scorchers,Sydney Thunder,Sydney Thunder,,20,,Western Australia Cricket Association Ground,Sydney Thunder,bat,Perth Scorchers
756761,2015-01-02,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,,,6,"Bellerive Oval, Hobart",Hobart Hurricanes,field,Hobart Hurricanes
756763,2015-01-03,Melbourne Renegades,Melbourne Stars,Melbourne Stars,,112,,"Docklands Stadium, Melbourne",Melbourne Renegades,field,Melbourne Renegades
756765,2015-01-04,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,,,5,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Adelaide Strikers,field,Brisbane Heat
756767,2015-01-05,Melbourne Stars,Sydney Sixers,,tie,,,Melbourne Cricket Ground,Melbourne Stars,field,Melbourne Stars
756769,2015-01-06,Adelaide Strikers,Perth Scorchers,Perth Scorchers,,18,,Adelaide Oval,Adelaide Strikers,field,Adelaide Strikers
756789,2015-01-07,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,,37,,"Bellerive Oval, Hobart",Hobart Hurricanes,field,Hobart Hurricanes
756773,2015-01-08,Perth Scorchers,Brisbane Heat,Perth Scorchers,,,8,Western Australia Cricket Association Ground,Brisbane Heat,bat,Perth Scorchers
756777,2015-01-10,Melbourne Stars,Melbourne Renegades,Melbourne Stars,,,3,Melbourne Cricket Ground,Melbourne Renegades,bat,Melbourne Stars
756781,2015-01-11,Brisbane Heat,Sydney Sixers,Sydney Sixers,,,6,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Sixers,field,Brisbane Heat
756779,2015-01-11,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,,18,,"Bellerive Oval, Hobart",Perth Scorchers,bat,Hobart Hurricanes
756783,2015-01-12,Adelaide Strikers,Sydney Thunder,,no result,,,Adelaide Oval,Sydney Thunder,field,Adelaide Strikers
756785,2015-01-13,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,,,5,"Docklands Stadium, Melbourne",Melbourne Renegades,field,Melbourne Renegades
756787,2015-01-14,Sydney Sixers,Adelaide Strikers,Adelaide Strikers,,23,,"Sydney Cricket Ground, Sydney",Adelaide Strikers,bat,Sydney Sixers
756797,2015-01-15,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,,18,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Hobart Hurricanes,field,Brisbane Heat
756791,2015-01-17,Sydney Thunder,Melbourne Stars,Melbourne Stars,,,8,Sydney Showground Stadium,Melbourne Stars,field,Sydney Thunder
756793,2015-01-19,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,,22,,"Docklands Stadium, Melbourne",Adelaide Strikers,bat,Melbourne Renegades
756795,2015-01-21,Melbourne Stars,Perth Scorchers,Melbourne Stars,,,3,Melbourne Cricket Ground,Perth Scorchers,bat,Melbourne Stars
756775,2015-01-22,Sydney Sixers,Sydney Thunder,Sydney Sixers,,,4,"Sydney Cricket Ground, Sydney",Sydney Sixers,field,Sydney Sixers
756799,2015-01-24,Adelaide Strikers,Sydney Sixers,Sydney Sixers,,87,,Adelaide Oval,Sydney Sixers,bat,Adelaide Strikers
756801,2015-01-25,Perth Scorchers,Melbourne Stars,Perth Scorchers,,18,,Western Australia Cricket Association Ground,Perth Scorchers,bat,Perth Scorchers
756803,2015-01-28,Perth Scorchers,Sydney Sixers,Perth Scorchers,,,4,"Manuka Oval, Canberra",Sydney Sixers,bat,Sydney Sixers
897697,2015-12-18,Adelaide Strikers,Melbourne Stars,Adelaide Strikers,,19,,Adelaide Oval,Melbourne Stars,field,Adelaide Strikers
897699,2015-12-19,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,,,7,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,bat,Brisbane Heat
897701,2015-12-20,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,,95,,"Sydney Cricket Ground, Sydney",Sydney Sixers,bat,Sydney Sixers
